,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
,SZ300044,*ST赛为,--,+12.20%,5.70,+0.62,5.69,5.70,34059046,184484140,200↓,+0.00%,+11.76%,+5.58,4.76%,-15.32,4354054600,4077655800,93.65%,--,--,+0.00%,--,--,--,--,--,14628480,19430566,0.753,--,无,无,0.13,1.55,,-10723829,,-0.070,IT服务,IT服务,5.08,5.10,+0.39%,0.04%,5.83,5.06,-1.55%,+2.52%,+0.35%,+42.86%,15.16%,32800,277100,11179,--,5.79,--,763869230,715378200,-11107870亿,41.87%,-1.50,5,-63.88,--,--,--,20100120,
4,SZ301381,赛维时代,--,+12.04%,21.50,+2.31,21.49,21.50,23231677,497027190,2000↓,-0.05%,+13.40%,+0.55,5.72%,-70.15,8739426200,8731299200,99.91%,--,--,-0.05%,--,--,--,--,--,10723155,12508522,0.857,--,无,无,-0.17,3.96,31.38,42552896,3.10,0.105,互联网电商,互联网电商,19.19,18.96,-1.20%,0.01%,22.25,18.96,+18.07%,+18.33%,+10.37%,+5.70%,17.14%,4600,33400,42145,--,-5.23,--,406484940,406106940,55969521亿,-9.51%,6.94,1,29.86,--,--,--,20230712,
32,SH688799,华纳药厂,--,+11.79%,58.33,+6.15,58.32,58.33,11049456,637275720,35584↑,+0.03%,+13.31%,+1.26,8.27%,+44.20,7795046200,7795046200,100.00%,--,--,+0.03%,--,--,--,--,--,4436890,6612566,0.671,--,无,无,0.27,2.46,34.81,26876980,3.69,0.201,化学制剂,化学制药,52.18,51.48,-1.34%,0.01%,61.88,51.48,+13.57%,+14.82%,+25.49%,+22.75%,19.93%,10550,4548,22690,+0.04,3.84,--,133637000,133637000,33188649亿,-34.79%,15.81,5,120.25,--,--,--,20210713,
32,SH688068,热景生物,--,+11.15%,139.00,+13.94,139.00,139.50,8354192,1152000010,200↓,+0.75%,+11.29%,+0.88,9.01%,-68.35,12892822100,12892822100,100.00%,--,--,+0.75%,--,--,--,--,--,4217252,4136940,1.02,--,无,无,0.97,1.34,,-68059381,5.30,-0.734,体外诊断,医疗器械,125.06,124.90,-0.13%,0.03%,145.79,124.00,+19.01%,+49.46%,+78.27%,-14.20%,17.42%,382,1000,25197,+0.07,11.95,--,92754116,92754116,-82671396亿,-81.97%,26.23,3,-811.42,--,--,--,20190930,
4,SZ300628,亿联网络,--,+10.69%,37.49,+3.62,37.48,37.49,25507030,945380730,2400↑,-0.03%,+2.77%,+1.26,3.51%,-81.76,47496770000,27212892000,57.29%,--,--,-0.03%,--,--,--,--,--,10850061,14656969,0.740,--,无,无,0.09,2.69,17.63,1512850000,4.76,0.518,通信终端及配件,通信设备,33.87,36.48,+7.71%,0.04%,38.10,35.53,+8.26%,+2.15%,+12.18%,+9.14%,7.59%,4300,10898,59630,+1.44,4.69,--,1266918380,725870700,715840770亿,16.68%,7.88,7,25.34,--,--,--,20170317,
4,SZ301062,上海艾录,--,+10.62%,6.25,+0.60,6.25,6.26,30312585,189897100,1000↓,+0.00%,+5.22%,-0.26,11.01%,-34.90,2708075900,1720320300,63.53%,--,--,+0.00%,--,--,--,--,--,13265873,17046712,0.778,--,无,无,-0.20,4.25,,17500000,2.00,-0.005,包装,包装印刷,5.65,5.94,+5.13%,0.07%,6.66,5.90,+8.13%,+7.02%,-0.16%,-23.69%,13.45%,10428,77000,30380,--,-5.05,--,433292150,275251240,-1663172亿,-354.1%,3.13,9,61.62,--,--,--,20210914,
,SZ300635,中达安,--,+10.42%,11.34,+1.07,11.33,11.34,16806635,184463350,140300↑,-0.18%,+8.62%,+3.55,13.96%,-45.95,1587758800,1365497300,86.00%,--,--,-0.18%,--,--,--,--,--,7558178,9248457,0.817,--,无,无,0.55,2.96,,1491190,5.16,0.011,工程咨询服务,建筑装饰,10.27,10.44,+1.66%,0.36%,11.42,10.21,+6.48%,-3.32%,-18.48%,-29.26%,11.78%,10000,1700,23487,--,10.65,--,140014000,120414227,3989801亿,156.1%,2.20,5,-77.25,--,--,--,20170331,
32,SH688639,华恒生物,--,+10.34%,17.50,+1.64,17.50,17.51,10638914,182080230,1000--,+0.00%,+9.58%,+2.43,4.25%,+17.26,4377024600,4377024600,100.00%,--,--,+0.00%,--,--,--,--,--,5057411,5581503,0.906,--,无,无,-0.13,2.88,35.47,42097335,1.63,0.170,食品及饲料添加剂,化学制品,15.86,15.97,+0.69%,0.01%,17.70,15.78,+6.58%,+6.90%,-17.30%,-46.02%,12.11%,10292,4818,22581,+0.02,-8.72,--,250115690,250115690,35904589亿,-17.61%,10.75,6,54.63,--,--,--,20210422,
,SZ002310,东方新能,--,+10.24%,2.26,+0.21,2.26,--,143698330,318267900,900↓,+0.00%,+5.12%,+2.20,3.27%,+100.00,13558468000,9941761400,73.33%,43834056,19395600,+0.00%,--,--,--,--,--,61494999,82203331,0.748,--,无,无,1.05,1.81,,3100000,5.66,-0.002,新能源发电,电力,2.05,2.15,+4.88%,0.05%,2.26,2.14,+7.62%,-5.04%,-9.60%,+0.44%,5.85%,19395600,0,29800,--,34.83,--,5999322100,4399009500,-12784473亿,-183.5%,0.40,11,-18.63,--,--,--,20091127,
,SH600227,赤天化,--,+10.19%,2.92,+0.27,2.92,--,169659070,478566760,100↓,+0.00%,+8.96%,+3.75,13.28%,+100.00,4931084800,3730591400,75.65%,44231576,15147800,+0.00%,--,--,--,--,--,67263535,102395535,0.657,--,无,无,1.21,1.76,,39500000,2.20,-0.017,氮肥,农化制品,2.65,2.68,+1.13%,0.15%,2.92,2.66,+21.67%,+14.96%,+3.18%,+22.69%,9.81%,15147800,--,68982,+0.02,13.63,--,1688727700,1277599800,-27797163亿,38.16%,1.33,1,-40.43,--,--,--,20000221,
